gene	pas	type	frac.c1	frac.c2
Loxl3	chr6:83051324:+	3' most exon	0.831	0.831
Loxl3	chr6:83051958:+	3' most exon	0.0735	0.0735
Aup1	chr6:83057655:+	3' most exon	0.791	0.791
Aup1	chr6:83057352:+	Internal exon	0.209	0.209
Bola3	chr6:83358353:+	3' most exon	0.913	0.913
Bola3	chr6:83358505:+	3' most exon	0.0873	0.0873
Zfp638	chr6:83915757:+	Intron	0.0541	0.0541
Zfp638	chr6:83984895:+	Internal exon	0.141	0.141
Zfp638	chr6:83986873:+	3' most exon	0.745	0.745
Zfp638	chr6:83915558:+	Intron	0.06	0.06
Alms1	chr6:85634886:+	Intron	0.674	0.674
Alms1	chr6:85609526:+	Intron	0.326	0.326
Tprkb	chr6:85930282:+	3' most exon	0.659	0.659
Tprkb	chr6:85927384:+	Intron	0.0866	0.0866
Tprkb	chr6:85928127:+	Intron	0.121	0.121
Tprkb	chr6:85929204:+	3' most exon	0.133	0.133
Add2	chr6:86124409:+	3' most exon	0.751	0.751
Add2	chr6:86120790:+	3' most exon	0.0666	0.0666
Add2	chr6:86120030:+	3' most exon	0.183	0.183
Fam136a	chr6:86370063:+	3' most exon	0.904	0.904
Fam136a	chr6:86366970:+	Intron	0.0959	0.0959
Tia1	chr6:86433406:+	3' most exon	0.12	0.12
Tia1	chr6:86432142:+	3' most exon	0.228	0.228
Tia1	chr6:86407114:+	Intron	0.0748	0.0748
Tia1	chr6:86430567:+	3' most exon	0.117	0.117
Tia1	chr6:86432797:+	3' most exon	0.432	0.432
Tia1	chr6:86432257:+	3' most exon	0.0289	0.0289
Aak1	chr6:86991864:+	3' most exon	0.871	0.871
Aak1	chr6:87003225:+	3' most exon	0.129	0.129
Gfpt1	chr6:87092197:+	3' most exon	0.853	0.853
Gfpt1	chr6:87094214:+	3' most exon	0.0678	0.0678
Gfpt1	chr6:87054726:+	Internal exon	0.0795	0.0795
Efcc1	chr6:87757686:+	3' most exon	0.742	0.742
Efcc1	chr6:87761216:+	3' most exon	0.258	0.258
Copg1	chr6:87913563:+	3' most exon	0.603	0.603
Copg1	chr6:87890414:+	Intron	0.0897	0.0897
Copg1	chr6:87912530:+	3' most exon	0.308	0.308
Gm5577	chr6:87984178:+	3' most exon	0.495	0.495
Gm5577	chr6:87992332:+	3' most exon	0.0831	0.0831
Gm5577	chr6:87991149:+	3' most exon	0.313	0.313
Gm5577	chr6:87983196:+	3' most exon	0.109	0.109
Mgll	chr6:88828326:+	3' most exon	0.667	0.667
Mgll	chr6:88825922:+	3' most exon	0.333	0.333
Zxdc	chr6:90403490:+	3' most exon	0.697	0.697
Zxdc	chr6:90383254:+	Intron	0.0848	0.0848
Zxdc	chr6:90403087:+	3' most exon	0.1	0.1
Zxdc	chr6:90383094:+	Intron	0.118	0.118
Klf15	chr6:90475232:+	Intron	0.906	0.906
Klf15	chr6:90479691:+	3' most exon	0.0941	0.0941
Tmem43	chr6:91488434:+	3' most exon	0.889	0.889
Tmem43	chr6:91487929:+	3' most exon	0.111	0.111
Lsm3	chr6:91522622:+	3' most exon	0.946	0.946
Lsm3	chr6:91519772:+	Intron	0.0537	0.0537
Slc6a6	chr6:91759063:+	3' most exon	0.844	0.844
Slc6a6	chr6:91755524:+	3' most exon	0.156	0.156
Ccdc174	chr6:91899843:+	3' most exon	0.701	0.701
Ccdc174	chr6:91881533:+	Intron	0.0909	0.0909
Ccdc174	chr6:91899595:+	3' most exon	0.209	0.209
Nr2c2	chr6:92172993:+	3' most exon	0.927	0.927
Nr2c2	chr6:92167889:+	3' most exon	0.0728	0.0728
Slc25a26	chr6:94604571:+	3' most exon	0.692	0.692
Slc25a26	chr6:94603881:+	3' most exon	0.308	0.308
Kbtbd8	chr6:95129723:+	3' most exon	0.938	0.938
Kbtbd8	chr6:95127955:+	3' most exon	0.0619	0.0619
Fam19a1	chr6:96657204:+	3' most exon	0.338	0.338
Fam19a1	chr6:96655890:+	3' most exon	0.662	0.662
Gpr27	chr6:99695066:+	3' most exon	0.878	0.878
Gpr27	chr6:99694118:+	3' most exon	0.122	0.122
Gxylt2	chr6:100805081:+	3' most exon	0.292	0.292
Gxylt2	chr6:100810865:+	3' most exon	0.262	0.262
Gxylt2	chr6:100727636:+	Intron	0.109	0.109
Gxylt2	chr6:100707556:+	Intron	0.116	0.116
Gxylt2	chr6:100804844:+	3' most exon	0.222	0.222
Ppp4r2	chr6:100869833:+	3' most exon	0.507	0.507
Ppp4r2	chr6:100867949:+	3' most exon	0.36	0.36
Ppp4r2	chr6:100868519:+	3' most exon	0.133	0.133
Chl1	chr6:103729794:+	3' most exon	0.598	0.598
Chl1	chr6:103731068:+	3' most exon	0.163	0.163
Chl1	chr6:103726479:+	Intron	0.107	0.107
Chl1	chr6:103729463:+	3' most exon	0.133	0.133
Cntn4	chr6:106699310:+	3' most exon	0.853	0.853
Cntn4	chr6:106700141:+	3' most exon	0.0885	0.0885
Cntn4	chr6:106089251:+	Intron	0.0584	0.0584
Trnt1	chr6:106782467:+	3' most exon	0.924	0.924
Trnt1	chr6:106778858:+	Internal exon	0.0756	0.0756
Itpr1	chr6:108551110:+	3' most exon	0.903	0.903
Itpr1	chr6:108550312:+	3' most exon	0.0971	0.0971
Bhlhe40	chr6:108666773:+	3' most exon	0.83	0.83
Bhlhe40	chr6:108666545:+	3' most exon	0.17	0.17
Arl8b	chr6:108823586:+	3' most exon	0.556	0.556
Arl8b	chr6:108822412:+	3' most exon	0.0617	0.0617
Arl8b	chr6:108821672:+	3' most exon	0.0765	0.0765
Arl8b	chr6:108823723:+	3' most exon	0.132	0.132
Arl8b	chr6:108823476:+	3' most exon	0.174	0.174
Edem1	chr6:108859356:+	3' most exon	0.633	0.633
Edem1	chr6:108855764:+	3' most exon	0.265	0.265
Edem1	chr6:108861996:+	3' most exon	0.103	0.103
Grm7	chr6:111567230:+	3' most exon	0.833	0.833
Grm7	chr6:111511813:+	Intron	0.167	0.167
Thumpd3	chr6:113068273:+	3' most exon	0.87	0.87
Thumpd3	chr6:113068071:+	3' most exon	0.13	0.13
Setd5	chr6:113153426:+	3' most exon	0.45	0.45
Setd5	chr6:113106677:+	Intron	0.116	0.116
Setd5	chr6:113151867:+	3' most exon	0.339	0.339
Setd5	chr6:113117485:+	Internal exon	0.0947	0.0947
Mtmr14	chr6:113281389:+	3' most exon	0.076	0.076
Mtmr14	chr6:113241861:+	Intron	0.0512	0.0512
Mtmr14	chr6:113281198:+	3' most exon	0.873	0.873
Cpne9	chr6:113305572:+	3' most exon	0.187	0.187
Cpne9	chr6:113304827:+	3' most exon	0.645	0.645
Cpne9	chr6:113305347:+	3' most exon	0.168	0.168
Brpf1	chr6:113324845:+	3' most exon	0.507	0.507
Brpf1	chr6:113324709:+	3' most exon	0.493	0.493
Ogg1	chr6:113334976:+	3' most exon	0.423	0.423
Ogg1	chr6:113334864:+	3' most exon	0.232	0.232
Ogg1	chr6:113334117:+	3' most exon	0.345	0.345
Arpc4	chr6:113389108:+	3' most exon	0.688	0.688
Arpc4	chr6:113389653:+	3' most exon	0.312	0.312
Brk1	chr6:113616912:+	3' most exon	0.471	0.471
Brk1	chr6:113616695:+	3' most exon	0.474	0.474
Brk1	chr6:113617051:+	3' most exon	0.055	0.055
Vhl	chr6:113631592:+	3' most exon	0.924	0.924
Vhl	chr6:113629688:+	3' most exon	0.0757	0.0757
Irak2	chr6:113694998:+	3' most exon	0.491	0.491
Irak2	chr6:113694759:+	3' most exon	0.509	0.509
Tatdn2	chr6:113716121:+	3' most exon	0.317	0.317
Tatdn2	chr6:113730055:+	3' most exon	0.356	0.356
Tatdn2	chr6:113710990:+	3' most exon	0.198	0.198
Tatdn2	chr6:113702432:+	Internal exon	0.13	0.13
Atg7	chr6:114860533:+	3' most exon	0.569	0.569
Atg7	chr6:114859224:+	3' most exon	0.365	0.365
Atg7	chr6:114860359:+	3' most exon	0.0667	0.0667
Syn2	chr6:115281997:+	3' most exon	0.612	0.612
Syn2	chr6:115276558:+	Intron	0.388	0.388
Gm17482	chr6:115284748:+	Single exon	0.309	0.309
Gm17482	chr6:115282629:+	Single exon	0.523	0.523
Gm17482	chr6:115246769:+	Intron	0.1	0.1
Gm17482	chr6:115283210:+	Single exon	0.0682	0.0682
Pparg	chr6:115490399:+	3' most exon	0.902	0.902
Pparg	chr6:115491615:+	3' most exon	0.0985	0.0985
Mkrn2	chr6:115618632:+	3' most exon	0.478	0.478
Mkrn2	chr6:115617983:+	3' most exon	0.429	0.429
Mkrn2	chr6:115621680:+	3' most exon	0.0928	0.0928
Cand2	chr6:115805717:+	3' most exon	0.326	0.326
Cand2	chr6:115804347:+	3' most exon	0.119	0.119
Cand2	chr6:115804869:+	3' most exon	0.296	0.296
Cand2	chr6:115805514:+	3' most exon	0.139	0.139
Cand2	chr6:115804476:+	3' most exon	0.12	0.12
Washc2	chr6:116262667:+	3' most exon	0.91	0.91
Washc2	chr6:116223234:+	Internal exon	0.0896	0.0896
Zfand4	chr6:116274616:+	Intron	0.439	0.439
Zfand4	chr6:116330299:+	3' most exon	0.446	0.446
Zfand4	chr6:116274510:+	Intron	0.115	0.115
March8	chr6:116409514:+	3' most exon	0.898	0.898
March8	chr6:116406148:+	3' most exon	0.102	0.102
Cxcl12	chr6:117175015:+	Intron	0.741	0.741
Cxcl12	chr6:117181367:+	3' most exon	0.259	0.259
Zfp239	chr6:117872707:+	3' most exon	0.859	0.859
Zfp239	chr6:117870528:+	5' most exon	0.141	0.141
Rasgef1a	chr6:118091546:+	3' most exon	0.849	0.849
Rasgef1a	chr6:118090584:+	3' most exon	0.151	0.151
Dcp1b	chr6:119220206:+	3' most exon	0.745	0.745
Dcp1b	chr6:119223073:+	3' most exon	0.2	0.2
Dcp1b	chr6:119216088:+	Intron	0.0544	0.0544
Cacna2d4	chr6:119269048:+	Intron	0.769	0.769
Cacna2d4	chr6:119351552:+	3' most exon	0.0958	0.0958
Cacna2d4	chr6:119301417:+	Intron	0.135	0.135
Fbxl14	chr6:119481700:+	3' most exon	0.127	0.127
Fbxl14	chr6:119482630:+	3' most exon	0.873	0.873
Rad52	chr6:119922823:+	3' most exon	0.608	0.608
Rad52	chr6:119924259:+	3' most exon	0.157	0.157
Rad52	chr6:119922715:+	3' most exon	0.236	0.236
Ninj2	chr6:120200339:+	3' most exon	0.797	0.797
Ninj2	chr6:120118318:+	Intron	0.135	0.135
Ninj2	chr6:120199434:+	Intron	0.0684	0.0684
Kdm5a	chr6:120442244:+	3' most exon	0.315	0.315
Kdm5a	chr6:120441757:+	3' most exon	0.685	0.685
Il17ra	chr6:120483731:+	3' most exon	0.944	0.944
Il17ra	chr6:120482947:+	3' most exon	0.0555	0.0555
Cecr2	chr6:120771130:+	3' most exon	0.384	0.384
Cecr2	chr6:120767806:+	3' most exon	0.387	0.387
Cecr2	chr6:120667727:+	Intron	0.0507	0.0507
Cecr2	chr6:120769156:+	3' most exon	0.0996	0.0996
Cecr2	chr6:120767474:+	3' most exon	0.0788	0.0788
Slc25a18	chr6:120794332:+	3' most exon	0.199	0.199
Slc25a18	chr6:120794169:+	3' most exon	0.801	0.801
Bcl2l13	chr6:120889012:+	3' most exon	0.617	0.617
Bcl2l13	chr6:120892842:+	3' most exon	0.383	0.383
Tuba8	chr6:121226858:+	3' most exon	0.313	0.313
Tuba8	chr6:121226098:+	3' most exon	0.687	0.687
Slc6a12	chr6:121365773:+	3' most exon	0.771	0.771
Slc6a12	chr6:121365631:+	3' most exon	0.229	0.229
M6pr	chr6:122317647:+	3' most exon	0.815	0.815
M6pr	chr6:122316790:+	3' most exon	0.185	0.185
Mfap5	chr6:122529294:+	3' most exon	0.14	0.14
Mfap5	chr6:122528632:+	3' most exon	0.86	0.86
Clec4a3	chr6:122969876:+	3' most exon	0.91	0.91
Clec4a3	chr6:122968704:+	Intron	0.0903	0.0903
Clec4a2	chr6:123142864:+	3' most exon	0.268	0.268
Clec4a2	chr6:123142515:+	3' most exon	0.732	0.732
Lpcat3	chr6:124704385:+	3' most exon	0.186	0.186
Lpcat3	chr6:124704170:+	3' most exon	0.814	0.814
Phb2	chr6:124716919:+	3' most exon	0.903	0.903
Phb2	chr6:124716643:+	3' most exon	0.0969	0.0969
Spsb2	chr6:124810581:+	3' most exon	0.915	0.915
Spsb2	chr6:124810472:+	3' most exon	0.0847	0.0847
Cdca3	chr6:124833666:+	3' most exon	0.315	0.315
Cdca3	chr6:124833278:+	3' most exon	0.685	0.685
A230083G16Rik	chr6:124925994:+	3' most exon	0.329	0.329
A230083G16Rik	chr6:124930091:+	3' most exon	0.381	0.381
A230083G16Rik	chr6:124925751:+	3' most exon	0.29	0.29
Zfp384	chr6:125037869:+	3' most exon	0.804	0.804
Zfp384	chr6:125037570:+	3' most exon	0.196	0.196
Ing4	chr6:125049234:+	3' most exon	0.587	0.587
Ing4	chr6:125049002:+	3' most exon	0.413	0.413
Acrbp	chr6:125063218:+	3' most exon	0.485	0.485
Acrbp	chr6:125055094:+	Intron	0.106	0.106
Acrbp	chr6:125054042:+	Intron	0.409	0.409
Chd4	chr6:125130539:+	3' most exon	0.835	0.835
Chd4	chr6:125130334:+	3' most exon	0.165	0.165
Iffo1	chr6:125161780:+	3' most exon	0.917	0.917
Iffo1	chr6:125160936:+	3' most exon	0.0831	0.0831
Mrpl51	chr6:125193545:+	3' most exon	0.849	0.849
Mrpl51	chr6:125193331:+	3' most exon	0.151	0.151
E130112N10Rik	chr6:125247473:+	3' most exon	0.739	0.739
E130112N10Rik	chr6:125240578:+	3' most exon	0.261	0.261
Scnn1a	chr6:125329560:+	Intron	0.567	0.567
Scnn1a	chr6:125344943:+	3' most exon	0.433	0.433
Vwf	chr6:125686675:+	3' most exon	0.927	0.927
Vwf	chr6:125592171:+	Intron	0.0726	0.0726
Foxm1	chr6:128375867:+	3' most exon	0.582	0.582
Foxm1	chr6:128374844:+	3' most exon	0.418	0.418
Nrip2	chr6:128408203:+	Intron	0.163	0.163
Nrip2	chr6:128409108:+	3' most exon	0.308	0.308
Nrip2	chr6:128403029:+	Intron	0.195	0.195
Nrip2	chr6:128408076:+	Intron	0.334	0.334
Gm10069	chr6:128480574:+	Intron	0.415	0.415
Gm10069	chr6:128503282:+	3' most exon	0.392	0.392
Gm10069	chr6:128449595:+	Intron	0.192	0.192
Clec2d	chr6:129186497:+	3' most exon	0.721	0.721
Clec2d	chr6:129184219:+	Internal exon	0.198	0.198
Clec2d	chr6:129186136:+	3' most exon	0.0806	0.0806
Smim10l1	chr6:133107705:+	Intron	0.744	0.744
Smim10l1	chr6:133106550:+	Intron	0.0773	0.0773
Smim10l1	chr6:133106339:+	Intron	0.179	0.179
Etv6	chr6:134270158:+	3' most exon	0.797	0.797
Etv6	chr6:134266781:+	3' most exon	0.15	0.15
Etv6	chr6:134087844:+	Intron	0.0536	0.0536
Crebl2	chr6:134858928:+	3' most exon	0.785	0.785
Crebl2	chr6:134857882:+	3' most exon	0.0995	0.0995
Crebl2	chr6:134856404:+	3' most exon	0.116	0.116
Cdkn1b	chr6:134925481:+	3' most exon	0.351	0.351
Cdkn1b	chr6:134921998:+	Internal exon	0.407	0.407
Cdkn1b	chr6:134924745:+	3' most exon	0.176	0.176
Cdkn1b	chr6:134925131:+	3' most exon	0.0664	0.0664
Apold1	chr6:134986839:+	3' most exon	0.934	0.934
Apold1	chr6:134985528:+	3' most exon	0.0656	0.0656
Emp1	chr6:135383173:+	3' most exon	0.859	0.859
Emp1	chr6:135382937:+	3' most exon	0.141	0.141
BC049715	chr6:136844320:+	3' most exon	0.686	0.686
BC049715	chr6:136829755:+	Intron	0.173	0.173
BC049715	chr6:136833763:+	Intron	0.141	0.141
Strap	chr6:137751896:+	3' most exon	0.242	0.242
Strap	chr6:137751096:+	3' most exon	0.614	0.614
Strap	chr6:137751579:+	3' most exon	0.145	0.145
Dera	chr6:137837847:+	3' most exon	0.751	0.751
Dera	chr6:137837330:+	3' most exon	0.249	0.249
Pik3c2g	chr6:139969284:+	3' most exon	0.577	0.577
Pik3c2g	chr6:139859605:+	Intron	0.423	0.423
Aebp2	chr6:140655303:+	Intron	0.285	0.285
Aebp2	chr6:140652778:+	Intron	0.403	0.403
Aebp2	chr6:140653795:+	Intron	0.246	0.246
Aebp2	chr6:140652891:+	Intron	0.0659	0.0659
Pde3a	chr6:141506862:+	3' most exon	0.394	0.394
Pde3a	chr6:141502482:+	3' most exon	0.388	0.388
Pde3a	chr6:141500399:+	3' most exon	0.0616	0.0616
Pde3a	chr6:141505943:+	3' most exon	0.156	0.156
Slco1c1	chr6:141569720:+	3' most exon	0.179	0.179
Slco1c1	chr6:141569606:+	3' most exon	0.821	0.821
Pyroxd1	chr6:142362628:+	3' most exon	0.174	0.174
Pyroxd1	chr6:142367661:+	3' most exon	0.152	0.152
Pyroxd1	chr6:142364233:+	3' most exon	0.172	0.172
Pyroxd1	chr6:142362137:+	3' most exon	0.325	0.325
Pyroxd1	chr6:142362729:+	3' most exon	0.178	0.178
Golt1b	chr6:142403819:+	3' most exon	0.87	0.87
Golt1b	chr6:142401638:+	3' most exon	0.13	0.13
Etfrf1	chr6:145217531:+	3' most exon	0.201	0.201
Etfrf1	chr6:145216532:+	3' most exon	0.698	0.698
Etfrf1	chr6:145215647:+	3' most exon	0.101	0.101
Sspn	chr6:145965223:+	3' most exon	0.779	0.779
Sspn	chr6:145961615:+	3' most exon	0.221	0.221
Fgfr1op2	chr6:146599137:+	3' most exon	0.686	0.686
Fgfr1op2	chr6:146592775:+	Intron	0.314	0.314
4930479D17Rik	chr6:146665021:+	Intron	0.578	0.578
4930479D17Rik	chr6:146667249:+	3' most exon	0.249	0.249
4930479D17Rik	chr6:146665405:+	3' most exon	0.11	0.11
4930479D17Rik	chr6:146662285:+	Intron	0.0639	0.0639
Stk38l	chr6:146778807:+	3' most exon	0.233	0.233
Stk38l	chr6:146776556:+	3' most exon	0.312	0.312
Stk38l	chr6:146778046:+	3' most exon	0.119	0.119
Stk38l	chr6:146778578:+	3' most exon	0.336	0.336
Arntl2	chr6:146833497:+	3' most exon	0.766	0.766
Arntl2	chr6:146832702:+	3' most exon	0.234	0.234
Rep15	chr6:147034245:+	3' most exon	0.84	0.84
Rep15	chr6:147033614:+	3' most exon	0.16	0.16
Ccdc91	chr6:147632609:+	3' most exon	0.895	0.895
Ccdc91	chr6:147592081:+	Internal exon	0.105	0.105
Far2	chr6:148176659:+	Intron	0.569	0.569
Far2	chr6:148179037:+	Intron	0.0611	0.0611
Far2	chr6:148176147:+	Intron	0.37	0.37
Etfbkmt	chr6:149151171:+	3' most exon	0.882	0.882
Etfbkmt	chr6:149145130:+	Intron	0.118	0.118
2810474O19Rik	chr6:149335658:+	3' most exon	0.796	0.796
2810474O19Rik	chr6:149325717:+	Internal exon	0.148	0.148
2810474O19Rik	chr6:149334979:+	3' most exon	0.0557	0.0557
Bicd1	chr6:149563313:+	3' most exon	0.112	0.112
Bicd1	chr6:149562709:+	3' most exon	0.456	0.456
Bicd1	chr6:149421231:+	Intron	0.0557	0.0557
Bicd1	chr6:149556901:+	3' most exon	0.0659	0.0659
Bicd1	chr6:149560946:+	3' most exon	0.0955	0.0955
Bicd1	chr6:149558612:+	3' most exon	0.056	0.056
Bicd1	chr6:149562378:+	3' most exon	0.159	0.159
Bet1	chr6:4076904:-	3' most exon	0.813	0.813
Bet1	chr6:4077876:-	3' most exon	0.187	0.187
Sgce	chr6:4674350:-	3' most exon	0.842	0.842
Sgce	chr6:4678065:-	Intron	0.158	0.158
Pon3	chr6:5216257:-	3' most exon	0.136	0.136
Pon3	chr6:5236614:-	Intron	0.307	0.307
Pon3	chr6:5221425:-	3' most exon	0.261	0.261
Pon3	chr6:5216798:-	3' most exon	0.295	0.295
Slc25a13	chr6:6041218:-	3' most exon	0.847	0.847
Slc25a13	chr6:6041892:-	3' most exon	0.153	0.153
Sem1	chr6:6558288:-	3' most exon	0.884	0.884
Sem1	chr6:6578502:-	5' most exon	0.116	0.116
Dlx5	chr6:6877801:-	3' most exon	0.876	0.876
Dlx5	chr6:6878050:-	3' most exon	0.124	0.124
A430035B10Rik	chr6:8507063:-	3' most exon	0.361	0.361
A430035B10Rik	chr6:8507680:-	3' most exon	0.355	0.355
A430035B10Rik	chr6:8508456:-	3' most exon	0.283	0.283
Ndufa4	chr6:11900414:-	3' most exon	0.442	0.442
Ndufa4	chr6:11906023:-	Internal exon	0.247	0.247
Ndufa4	chr6:11900290:-	3' most exon	0.311	0.311
Thsd7a	chr6:12311637:-	3' most exon	0.721	0.721
Thsd7a	chr6:12317142:-	3' most exon	0.0849	0.0849
Thsd7a	chr6:12313077:-	3' most exon	0.128	0.128
Thsd7a	chr6:12314664:-	3' most exon	0.0663	0.0663
Tmem168	chr6:13581122:-	3' most exon	0.0829	0.0829
Tmem168	chr6:13582001:-	3' most exon	0.214	0.214
Tmem168	chr6:13581294:-	3' most exon	0.704	0.704
Bmt2	chr6:13625675:-	3' most exon	0.354	0.354
Bmt2	chr6:13626825:-	3' most exon	0.514	0.514
Bmt2	chr6:13627995:-	3' most exon	0.0592	0.0592
Bmt2	chr6:13626354:-	3' most exon	0.0727	0.0727
Gpr85	chr6:13834531:-	3' most exon	0.133	0.133
Gpr85	chr6:13835071:-	3' most exon	0.697	0.697
Gpr85	chr6:13834406:-	3' most exon	0.17	0.17
2610001J05Rik	chr6:13869804:-	3' most exon	0.703	0.703
2610001J05Rik	chr6:13870126:-	3' most exon	0.297	0.297
Cttnbp2	chr6:18366471:-	3' most exon	0.466	0.466
Cttnbp2	chr6:18366687:-	3' most exon	0.534	0.534
Tspan12	chr6:21771391:-	3' most exon	0.944	0.944
Tspan12	chr6:21772479:-	3' most exon	0.0561	0.0561
Fam3c	chr6:22306520:-	3' most exon	0.188	0.188
Fam3c	chr6:22307886:-	3' most exon	0.709	0.709
Fam3c	chr6:22308200:-	3' most exon	0.103	0.103
Aass	chr6:23072500:-	3' most exon	0.913	0.913
Aass	chr6:23072783:-	3' most exon	0.0866	0.0866
Cadps2	chr6:23262766:-	3' most exon	0.722	0.722
Cadps2	chr6:23263408:-	3' most exon	0.0709	0.0709
Cadps2	chr6:23262948:-	3' most exon	0.207	0.207
Ndufa5	chr6:24518662:-	3' most exon	0.903	0.903
Ndufa5	chr6:24522718:-	Intron	0.0972	0.0972
Wasl	chr6:24613815:-	3' most exon	0.872	0.872
Wasl	chr6:24633837:-	Internal exon	0.128	0.128
Pot1a	chr6:25743518:-	3' most exon	0.136	0.136
Pot1a	chr6:25737796:-	3' most exon	0.0683	0.0683
Pot1a	chr6:25743945:-	3' most exon	0.796	0.796
Zfp800	chr6:28210593:-	3' most exon	0.323	0.323
Zfp800	chr6:28239934:-	3' most exon	0.179	0.179
Zfp800	chr6:28242240:-	Intron	0.111	0.111
Zfp800	chr6:28212488:-	3' most exon	0.115	0.115
Zfp800	chr6:28240239:-	3' most exon	0.178	0.178
Zfp800	chr6:28212724:-	3' most exon	0.0953	0.0953
Lrrc4	chr6:28829590:-	3' most exon	0.929	0.929
Lrrc4	chr6:28827902:-	3' most exon	0.0708	0.0708
Rbm28	chr6:29123573:-	3' most exon	0.274	0.274
Rbm28	chr6:29125078:-	3' most exon	0.585	0.585
Rbm28	chr6:29154755:-	Internal exon	0.0592	0.0592
Rbm28	chr6:29160037:-	Internal exon	0.0818	0.0818
Tnpo3	chr6:29540827:-	3' most exon	0.405	0.405
Tnpo3	chr6:29540965:-	3' most exon	0.595	0.595
Ube2h	chr6:30211289:-	3' most exon	0.724	0.724
Ube2h	chr6:30213024:-	3' most exon	0.276	0.276
Tmem209	chr6:30482415:-	3' most exon	0.278	0.278
Tmem209	chr6:30481233:-	3' most exon	0.543	0.543
Tmem209	chr6:30480788:-	3' most exon	0.179	0.179
Cep41	chr6:30653457:-	3' most exon	0.499	0.499
Cep41	chr6:30679088:-	Intron	0.501	0.501
Copg2	chr6:30747553:-	3' most exon	0.166	0.166
Copg2	chr6:30748411:-	3' most exon	0.834	0.834
Lncpint	chr6:31141851:-	Intron	0.586	0.586
Lncpint	chr6:31141989:-	Intron	0.414	0.414
Mkln1os	chr6:31365619:-	3' most exon	0.194	0.194
Mkln1os	chr6:31366885:-	3' most exon	0.698	0.698
Mkln1os	chr6:31367222:-	3' most exon	0.108	0.108
Plxna4	chr6:32144269:-	3' most exon	0.861	0.861
Plxna4	chr6:32149109:-	3' most exon	0.139	0.139
Chchd3	chr6:32792285:-	3' most exon	0.749	0.749
Chchd3	chr6:32792641:-	3' most exon	0.167	0.167
Chchd3	chr6:32792847:-	3' most exon	0.0838	0.0838
Slc35b4	chr6:34155875:-	3' most exon	0.48	0.48
Slc35b4	chr6:34153422:-	3' most exon	0.129	0.129
Slc35b4	chr6:34166009:-	Intron	0.0613	0.0613
Slc35b4	chr6:34156553:-	3' most exon	0.128	0.128
Slc35b4	chr6:34155743:-	3' most exon	0.083	0.083
Slc35b4	chr6:34156752:-	3' most exon	0.119	0.119
3110062M04Rik	chr6:34873779:-	3' most exon	0.0872	0.0872
3110062M04Rik	chr6:34877587:-	5' most exon	0.572	0.572
3110062M04Rik	chr6:34873673:-	3' most exon	0.181	0.181
3110062M04Rik	chr6:34877720:-	5' most exon	0.16	0.16
Wdr91	chr6:34880426:-	3' most exon	0.875	0.875
Wdr91	chr6:34879062:-	3' most exon	0.125	0.125
Cnot4	chr6:35022134:-	3' most exon	0.441	0.441
Cnot4	chr6:35045024:-	Intron	0.317	0.317
Cnot4	chr6:35037986:-	Intron	0.17	0.17
Cnot4	chr6:35044615:-	Intron	0.0718	0.0718
Mtpn	chr6:35509035:-	3' most exon	0.676	0.676
Mtpn	chr6:35511014:-	3' most exon	0.0851	0.0851
Mtpn	chr6:35511911:-	3' most exon	0.0811	0.0811
Mtpn	chr6:35509841:-	3' most exon	0.101	0.101
Mtpn	chr6:35511398:-	3' most exon	0.0574	0.0574
Ptn	chr6:36714962:-	3' most exon	0.701	0.701
Ptn	chr6:36740960:-	Intron	0.154	0.154
Ptn	chr6:36715212:-	3' most exon	0.145	0.145
Dgki	chr6:36837381:-	3' most exon	0.342	0.342
Dgki	chr6:36846030:-	3' most exon	0.146	0.146
Dgki	chr6:37268190:-	Intron	0.288	0.288
Dgki	chr6:36846874:-	3' most exon	0.224	0.224
Creb3l2	chr6:37327255:-	3' most exon	0.896	0.896
Creb3l2	chr6:37331072:-	3' most exon	0.104	0.104
D630045J12Rik	chr6:38123174:-	3' most exon	0.47	0.47
D630045J12Rik	chr6:38126011:-	3' most exon	0.174	0.174
D630045J12Rik	chr6:38161549:-	Intron	0.198	0.198
D630045J12Rik	chr6:38126436:-	3' most exon	0.158	0.158
Zc3hav1l	chr6:38287465:-	3' most exon	0.475	0.475
Zc3hav1l	chr6:38292494:-	3' most exon	0.152	0.152
Zc3hav1l	chr6:38288229:-	3' most exon	0.0931	0.0931
Zc3hav1l	chr6:38287324:-	3' most exon	0.28	0.28
Zc3hav1	chr6:38305300:-	3' most exon	0.827	0.827
Zc3hav1	chr6:38307240:-	3' most exon	0.0939	0.0939
Zc3hav1	chr6:38315668:-	Intron	0.0789	0.0789
Hipk2	chr6:38687512:-	3' most exon	0.718	0.718
Hipk2	chr6:38687642:-	3' most exon	0.282	0.282
Parp12	chr6:39086412:-	3' most exon	0.813	0.813
Parp12	chr6:39111511:-	Internal exon	0.116	0.116
Parp12	chr6:39086792:-	3' most exon	0.0708	0.0708
Kdm7a	chr6:39136618:-	3' most exon	0.39	0.39
Kdm7a	chr6:39133315:-	3' most exon	0.0567	0.0567
Kdm7a	chr6:39143077:-	3' most exon	0.0547	0.0547
Kdm7a	chr6:39136723:-	3' most exon	0.498	0.498
Slc37a3	chr6:39335989:-	3' most exon	0.604	0.604
