Gene_Symbol	Ensemble_ID	Peak_ID	Chromosome	Peak_Start	Peak_End	Strand
Trmo	ENSMUSG00000028331.12	ENSMUSG00000028331.12_1_1	4	46379882	46380263	-
Anp32b	ENSMUSG00000028333.10	ENSMUSG00000028333.10_1_1	4	46472151	46472585	+
Nans	ENSMUSG00000028334.10	ENSMUSG00000028334.10_1_1	4	46502446	46502656	+
Col15a1	ENSMUSG00000028339.17	ENSMUSG00000028339.17_1_1	4	47312774	47313164	+
Nr4a3	ENSMUSG00000028341.9	ENSMUSG00000028341.9_1_1	4	48086058	48086414	+
Erp44	ENSMUSG00000028343.10	ENSMUSG00000028343.10_1_1	4;4	48194268;48194450	48194449;48194685	-;-
Erp44	ENSMUSG00000028343.10	ENSMUSG00000028343.10_1_2	4	48193384	48193660	-
Invs	ENSMUSG00000028344.12	ENSMUSG00000028344.12_1_1	4	48431594	48431950	+
Tex10	ENSMUSG00000028345.15	ENSMUSG00000028345.15_1_1	4	48430876	48431076	-
Brinp1	ENSMUSG00000028351.5	ENSMUSG00000028351.5_1_1	4	68761497	68761902	-
Fmn2	ENSMUSG00000028354.13	ENSMUSG00000028354.13_1_1	1	174822335	174822723	+
Zfp618	ENSMUSG00000028358.15	ENSMUSG00000028358.15_2_3	4	63139265	63139680	+
Slc44a5	ENSMUSG00000028360.9	ENSMUSG00000028360.9_1_1	3	154271323	154271688	+
Tnc	ENSMUSG00000028364.15	ENSMUSG00000028364.15_2_1	4;4	63959793;63960011	63960010;63960177	-;-
Txn1	ENSMUSG00000028367.5	ENSMUSG00000028367.5_1_1	4	57943755	57943949	-
Svep1	ENSMUSG00000028369.15	ENSMUSG00000028369.15_1_1	4;4	58042597;58042875	58042874;58043140	-;-
Ptgr1	ENSMUSG00000028378.6	ENSMUSG00000028378.6_1_1	4	58966555	58966738	-
Ugcg	ENSMUSG00000028381.8	ENSMUSG00000028381.8_1_1	4	59222425	59222812	+
Ptbp3	ENSMUSG00000028382.15	ENSMUSG00000028382.15_2_2	4	59471922	59472495	-
Hsdl2	ENSMUSG00000028383.17	ENSMUSG00000028383.17_1_1	4;4	59617706;59618199	59618198;59618655	+;+
Zfp37	ENSMUSG00000028389.12	ENSMUSG00000028389.12_1_1	4	62191059	62191331	-
Zfp37	ENSMUSG00000028389.12	ENSMUSG00000028389.12_1_2	4	62189556	62189906	-
Wdr31	ENSMUSG00000028391.16	ENSMUSG00000028391.16_1_1	4;4	62453748;62453830	62453829;62453912	-;-
Alad	ENSMUSG00000028393.10	ENSMUSG00000028393.10_1_1	4	62509177	62509286	-
Pole3	ENSMUSG00000028394.9	ENSMUSG00000028394.9_1_1	4	62523864	62524085	-
Pole3	ENSMUSG00000028394.9	ENSMUSG00000028394.9_1_2	4	62522668	62523023	-
Kdm4c	ENSMUSG00000028397.13	ENSMUSG00000028397.13_1_1	4	74405448	74405854	+
Tmem261	ENSMUSG00000028398.8	ENSMUSG00000028398.8_1_1	4	75277387	75277744	-
Ptprd	ENSMUSG00000028399.18	ENSMUSG00000028399.18_1_2	4	75941256	75941617	-
Mpdz	ENSMUSG00000028402.18	ENSMUSG00000028402.18_1_2	4	81278520	81278900	-
Zdhhc21	ENSMUSG00000028403.15	ENSMUSG00000028403.15_1_5	4	82798736	82799093	-
Aco1	ENSMUSG00000028405.9	ENSMUSG00000028405.9_1_1	4	40197946	40198317	+
Toporsos	ENSMUSG00000028407.4	ENSMUSG00000028407.4_1_1	4	40270042	40270237	+
Smu1	ENSMUSG00000028409.11	ENSMUSG00000028409.11_1_1	4	40737124	40737371	-
Smu1	ENSMUSG00000028409.11	ENSMUSG00000028409.11_1_2	4	40736662	40736940	-
Dnaja1	ENSMUSG00000028410.13	ENSMUSG00000028410.13_1_1	4	40732770	40733071	+
Dnaja1	ENSMUSG00000028410.13	ENSMUSG00000028410.13_1_2	4	40733542	40733871	+
Aptx	ENSMUSG00000028411.15	ENSMUSG00000028411.15_1_1	4;4	40686278;40686527	40686526;40686689	-;-
Slc44a1	ENSMUSG00000028412.17	ENSMUSG00000028412.17_3_1	4	53567400	53567791	+
Slc44a1	ENSMUSG00000028412.17	ENSMUSG00000028412.17_4_1	4	53622081	53622459	+
B4galt1	ENSMUSG00000028413.13	ENSMUSG00000028413.13_2_4	4	40804639	40804951	-
Fktn	ENSMUSG00000028414.17	ENSMUSG00000028414.17_1_2	4	53765414	53765783	+
Bag1	ENSMUSG00000028416.12	ENSMUSG00000028416.12_1_1	4	40936436	40936655	-
Chmp5	ENSMUSG00000028419.5	ENSMUSG00000028419.5_1_1	4;4	40964672;40964913	40964912;40965289	+;+
Tmem38b	ENSMUSG00000028420.13	ENSMUSG00000028420.13_1_1	4	53860137	53860564	+
Tmem38b	ENSMUSG00000028420.13	ENSMUSG00000028420.13_1_2	4	53861703	53861949	+
Nfx1	ENSMUSG00000028423.15	ENSMUSG00000028423.15_2_1	4	41024854	41025146	+
Rad23b	ENSMUSG00000028426.10	ENSMUSG00000028426.10_1_1	4	55390448	55390679	+
Rad23b	ENSMUSG00000028426.10	ENSMUSG00000028426.10_1_2	4;4	55390890;55391193	55391192;55391461	+;+
Rad23b	ENSMUSG00000028426.10	ENSMUSG00000028426.10_1_3	4	55391962	55392137	+
Ikbkap	ENSMUSG00000028431.11	ENSMUSG00000028431.11_1_1	4	56751014	56751390	-
Ubap2	ENSMUSG00000028433.14	ENSMUSG00000028433.14_1_1	4	41194346	41194700	-
Epb41l4b	ENSMUSG00000028434.12	ENSMUSG00000028434.12_1_1	4	57061747	57062135	-
Epb41l4b	ENSMUSG00000028434.12	ENSMUSG00000028434.12_2_2	4	56992029	56992355	-
Dcaf12	ENSMUSG00000028436.8	ENSMUSG00000028436.8_1_1	4	41292593	41292764	-
Dcaf12	ENSMUSG00000028436.8	ENSMUSG00000028436.8_1_2	4	41291327	41291679	-
Ubap1	ENSMUSG00000028437.14	ENSMUSG00000028437.14_1_1	4	41388773	41388962	+
Ubap1	ENSMUSG00000028437.14	ENSMUSG00000028437.14_1_2	4	41389342	41389740	+
Fam219a	ENSMUSG00000028439.14	ENSMUSG00000028439.14_1_3	4	41518980	41519238	-
Fam219a	ENSMUSG00000028439.14	ENSMUSG00000028439.14_1_4	4	41517684	41517898	-
RP23-100C7.3	ENSMUSG00000028441.12	ENSMUSG00000028441.12_1_1	4	41505033	41505153	-
Nudt2	ENSMUSG00000028443.6	ENSMUSG00000028443.6_1_1	4	41480504	41480903	+
Cntfr	ENSMUSG00000028444.17	ENSMUSG00000028444.17_1_1	4	41657509	41657888	-
Enho	ENSMUSG00000028445.7	ENSMUSG00000028445.7_1_1	4	41638194	41638597	-
Dctn3	ENSMUSG00000028447.11	ENSMUSG00000028447.11_1_1	4;4	41714971;41715261	41715260;41715437	-;-
Vcp	ENSMUSG00000028452.7	ENSMUSG00000028452.7_1_1	4;4	42980003;42980361	42980360;42980611	-;-
Fancg	ENSMUSG00000028453.10	ENSMUSG00000028453.10_1_1	4	43002364	43002712	-
Pigo	ENSMUSG00000028454.16	ENSMUSG00000028454.16_1_1	4;4	43017659;43017977	43017976;43018173	-;-
Stoml2	ENSMUSG00000028455.15	ENSMUSG00000028455.15_1_1	4	43028040	43028286	-
Unc13b	ENSMUSG00000028456.18	ENSMUSG00000028456.18_1_1	4	43264480	43264871	+
Tesk1	ENSMUSG00000028458.12	ENSMUSG00000028458.12_1_1	4;4	43447407;43447737	43447736;43448023	+;+
Ccdc107	ENSMUSG00000028461.12	ENSMUSG00000028461.12_1_1	4	43495386	43495900	+
Tln1	ENSMUSG00000028465.16	ENSMUSG00000028465.16_1_1	4	43531533	43531905	-
Creb3	ENSMUSG00000028466.15	ENSMUSG00000028466.15_1_1	4	43566509	43567008	+
Rgp1	ENSMUSG00000028468.15	ENSMUSG00000028468.15_1_1	4	43587077	43587466	+
Npr2	ENSMUSG00000028469.15	ENSMUSG00000028469.15_1_1	4	43650754	43651349	+
Hint2	ENSMUSG00000028470.10	ENSMUSG00000028470.10_1_1	4	43654248	43654943	-
Reck	ENSMUSG00000028476.13	ENSMUSG00000028476.13_1_1	4	43944365	43944785	+
Clta	ENSMUSG00000028478.18	ENSMUSG00000028478.18_1_1	4	44032444	44032833	+
Gne	ENSMUSG00000028479.18	ENSMUSG00000028479.18_1_1	4	44036854	44037193	-
Gne	ENSMUSG00000028479.18	ENSMUSG00000028479.18_1_2	4	44034355	44034595	-
Glipr2	ENSMUSG00000028480.14	ENSMUSG00000028480.14_1_1	4	43978742	43979105	+
Snapc3	ENSMUSG00000028483.13	ENSMUSG00000028483.13_1_1	4	83441921	83442046	+
Snapc3	ENSMUSG00000028483.13	ENSMUSG00000028483.13_2_1	4	83453069	83453310	+
Psip1	ENSMUSG00000028484.16	ENSMUSG00000028484.16_2_1	4	83455715	83456058	-
Sh3gl2	ENSMUSG00000028488.15	ENSMUSG00000028488.15_3_1	4;4	85388833;85389015	85389014;85389361	+;+
Plin2	ENSMUSG00000028494.12	ENSMUSG00000028494.12_1_1	4	86656718	86657085	-
Rps6	ENSMUSG00000028495.14	ENSMUSG00000028495.14_1_1	4	86854681	86854946	-
Mllt3	ENSMUSG00000028496.17	ENSMUSG00000028496.17_1_1	4	87773982	87774128	-
Mllt3	ENSMUSG00000028496.17	ENSMUSG00000028496.17_1_4	4;4	87769972;87770226	87770225;87770466	-;-
Usp24	ENSMUSG00000028514.15	ENSMUSG00000028514.15_1_2	4	106440955	106441319	+
Plpp3	ENSMUSG00000028517.8	ENSMUSG00000028517.8_1_1	4	105232374	105232745	+
Dab1	ENSMUSG00000028519.16	ENSMUSG00000028519.16_1_1	4	104680100	104680363	+
Dab1	ENSMUSG00000028519.16	ENSMUSG00000028519.16_2_2	4	104744376	104744819	+
Slc35d1	ENSMUSG00000028521.17	ENSMUSG00000028521.17_1_2	4	103170659	103171053	-
Mier1	ENSMUSG00000028522.16	ENSMUSG00000028522.16_1_1	4	103165371	103165733	+
Sgip1	ENSMUSG00000028524.21	ENSMUSG00000028524.21_1_1	4	102971565	102972027	+
Pde4b	ENSMUSG00000028525.16	ENSMUSG00000028525.16_4_2	4	102606861	102607249	+
Ak4	ENSMUSG00000028527.18	ENSMUSG00000028527.18_1_2	4	101466655	101466979	+
Dnajc6	ENSMUSG00000028528.16	ENSMUSG00000028528.16_1_1	4	101642410	101642786	+
Jak1	ENSMUSG00000028530.14	ENSMUSG00000028530.14_1_2	4	101152375	101152743	-
Cachd1	ENSMUSG00000028532.14	ENSMUSG00000028532.14_1_2	4	101004091	101004527	+
St3gal3	ENSMUSG00000028538.12	ENSMUSG00000028538.12_1_1	4	117932170	117932565	-
Artn	ENSMUSG00000028539.14	ENSMUSG00000028539.14_1_1	4;4	117925979;117926185	117926184;117926542	-;-
B4galt2	ENSMUSG00000028541.14	ENSMUSG00000028541.14_1_1	4	117873073	117873505	-
Slc6a9	ENSMUSG00000028542.17	ENSMUSG00000028542.17_1_1	4	117868914	117869294	+
Bend5	ENSMUSG00000028545.13	ENSMUSG00000028545.13_1_1	4;4	111459780;111459970	111459969;111460274	+;+
Elavl4	ENSMUSG00000028546.17	ENSMUSG00000028546.17_1_2	4	110204355	110204610	-
Elavl4	ENSMUSG00000028546.17	ENSMUSG00000028546.17_1_3	4	110203757	110204094	-
Itgb3bp	ENSMUSG00000028549.17	ENSMUSG00000028549.17_1_1	4	99767403	99767553	-
Atg4c	ENSMUSG00000028550.15	ENSMUSG00000028550.15_1_2	4	99259399	99259783	+
Cdkn2c	ENSMUSG00000028551.14	ENSMUSG00000028551.14_1_1	4	109660896	109661264	-
Dock7	ENSMUSG00000028556.15	ENSMUSG00000028556.15_1_1	4	98936827	98937248	-
Rnf11	ENSMUSG00000028557.10	ENSMUSG00000028557.10_1_1	4	109453051	109453210	-
Rnf11	ENSMUSG00000028557.10	ENSMUSG00000028557.10_1_2	4	109452565	109452934	-
Osbpl9	ENSMUSG00000028559.17	ENSMUSG00000028559.17_1_1	4	109062155	109062308	-
Osbpl9	ENSMUSG00000028559.17	ENSMUSG00000028559.17_1_2	4	109061657	109062026	-
Usp1	ENSMUSG00000028560.11	ENSMUSG00000028560.11_1_1	4	98935145	98935520	+
Tm2d1	ENSMUSG00000028563.16	ENSMUSG00000028563.16_1_1	4	98357864	98357999	-
Tm2d1	ENSMUSG00000028563.16	ENSMUSG00000028563.16_2_1	4	98355386	98355665	-
Nfia	ENSMUSG00000028565.18	ENSMUSG00000028565.18_1_5	4	98118512	98118845	+
Txndc12	ENSMUSG00000028567.8	ENSMUSG00000028567.8_1_1	4	108861703	108862116	+
Btf3l4	ENSMUSG00000028568.16	ENSMUSG00000028568.16_1_1	4;4	108815483;108815567	108815566;108815653	-;-
Btf3l4	ENSMUSG00000028568.16	ENSMUSG00000028568.16_1_2	4	108815218	108815353	-
Btf3l4	ENSMUSG00000028568.16	ENSMUSG00000028568.16_1_3	4;4	108814381;108814775	108814774;108815045	-;-
Hook1	ENSMUSG00000028572.13	ENSMUSG00000028572.13_2_2	4	96025017	96025392	+
Fggy	ENSMUSG00000028573.18	ENSMUSG00000028573.18_2_1	4	95926749	95926925	+
Ift74	ENSMUSG00000028576.12	ENSMUSG00000028576.12_2_1	4	94692947	94693217	+
Caap1	ENSMUSG00000028578.8	ENSMUSG00000028578.8_1_1	4;4	94500116;94500471	94500470;94500736	-;-
Pum1	ENSMUSG00000028580.15	ENSMUSG00000028580.15_1_1	4	130781191	130781549	+
Laptm5	ENSMUSG00000028581.17	ENSMUSG00000028581.17_1_1	4	130935739	130936148	+
Pdpn	ENSMUSG00000028583.14	ENSMUSG00000028583.14_1_2	4	143267452	143267809	-
Lrrc38	ENSMUSG00000028584.3	ENSMUSG00000028584.3_1_1	4	143370573	143371006	+
Gpx7	ENSMUSG00000028597.11	ENSMUSG00000028597.11_2_1	4	108400427	108400824	-
Echdc2	ENSMUSG00000028601.18	ENSMUSG00000028601.18_1_1	4	108178960	108179300	+
Scp2	ENSMUSG00000028603.15	ENSMUSG00000028603.15_1_1	4	108044499	108044803	-
Scp2	ENSMUSG00000028603.15	ENSMUSG00000028603.15_1_2	4	108043871	108044245	-
Cpt2	ENSMUSG00000028607.16	ENSMUSG00000028607.16_1_1	4	107904002	107904359	-
RP23-40G2.3	ENSMUSG00000028608.15	ENSMUSG00000028608.15_1_1	4	107894900	107895015	+
RP23-40G2.3	ENSMUSG00000028608.15	ENSMUSG00000028608.15_3_1	4	107896863	107897103	+
Magoh	ENSMUSG00000028609.6	ENSMUSG00000028609.6_1_1	4	107887194	107887382	+
Dmrtb1	ENSMUSG00000028610.16	ENSMUSG00000028610.16_1_1	4	107676316	107676704	-
Lrp8	ENSMUSG00000028613.14	ENSMUSG00000028613.14_1_1	4	107873552	107873831	+
Lrp8	ENSMUSG00000028613.14	ENSMUSG00000028613.14_1_3	4	107876498	107876824	+
Ndc1	ENSMUSG00000028614.14	ENSMUSG00000028614.14_1_2	4	107415973	107416329	+
Lrrc42	ENSMUSG00000028617.10	ENSMUSG00000028617.10_1_1	4	107233506	107233940	-
Tmem59	ENSMUSG00000028618.11	ENSMUSG00000028618.11_1_1	4;4	107200429;107200620	107200619;107200982	+;+
Tceanc2	ENSMUSG00000028619.15	ENSMUSG00000028619.15_1_1	4	107138851	107139197	-
Tceanc2	ENSMUSG00000028619.15	ENSMUSG00000028619.15_1_2	4	107134216	107134494	-
Cyb5rl	ENSMUSG00000028621.17	ENSMUSG00000028621.17_1_1	4	107084444	107084754	+
Mrpl37	ENSMUSG00000028622.11	ENSMUSG00000028622.11_1_1	4	107055903	107056099	-
Col9a2	ENSMUSG00000028626.5	ENSMUSG00000028626.5_1_1	4	121054930	121055297	+
Exo5	ENSMUSG00000028629.9	ENSMUSG00000028629.9_1_1	4	120921230	120921568	-
Dyrk2	ENSMUSG00000028630.9	ENSMUSG00000028630.9_1_2	10	118855609	118855979	-
Kcnq4	ENSMUSG00000028631.7	ENSMUSG00000028631.7_1_2	4	120696165	120696520	-
Ctps	ENSMUSG00000028633.7	ENSMUSG00000028633.7_1_1	4	120539885	120540367	-
Ppcs	ENSMUSG00000028636.14	ENSMUSG00000028636.14_1_1	4	119418553	119418913	-
Ccdc30	ENSMUSG00000028637.15	ENSMUSG00000028637.15_2_1	4	119352269	119352599	-
Ccdc30	ENSMUSG00000028637.15	ENSMUSG00000028637.15_3_1	4	119323850	119324151	-
Ybx1	ENSMUSG00000028639.14	ENSMUSG00000028639.14_1_1	4	119278874	119279056	-
Ybx1	ENSMUSG00000028639.14	ENSMUSG00000028639.14_2_1	4	119278006	119278357	-
P3h1	ENSMUSG00000028641.16	ENSMUSG00000028641.16_1_1	4	119248026	119248350	+
P3h1	ENSMUSG00000028641.16	ENSMUSG00000028641.16_1_2	4	119248601	119248952	+
Tmem269	ENSMUSG00000028642.7	ENSMUSG00000028642.7_1_1	4	119205167	119205766	-
Svbp	ENSMUSG00000028643.11	ENSMUSG00000028643.11_1_1	4	119200925	119201288	+
Slc2a1	ENSMUSG00000028645.11	ENSMUSG00000028645.11_1_1	4	119136929	119137322	+
Rragc	ENSMUSG00000028646.16	ENSMUSG00000028646.16_1_1	4	123936600	123936974	+
Mycbp	ENSMUSG00000028647.13	ENSMUSG00000028647.13_2_1	4	123911122	123911290	+
Mycbp	ENSMUSG00000028647.13	ENSMUSG00000028647.13_2_2	4	123912019	123912121	+
Ndufs5	ENSMUSG00000028648.13	ENSMUSG00000028648.13_1_1	4	123712728	123712904	-
Macf1	ENSMUSG00000028649.18	ENSMUSG00000028649.18_1_1	4	123350530	123350783	-
Macf1	ENSMUSG00000028649.18	ENSMUSG00000028649.18_1_2	4	123349659	123350062	-
Ppie	ENSMUSG00000028651.12	ENSMUSG00000028651.12_1_1	4	123127118	123127422	-
Mycl	ENSMUSG00000028654.13	ENSMUSG00000028654.13_1_1	4	123002029	123002472	+
Mfsd2a	ENSMUSG00000028655.11	ENSMUSG00000028655.11_1_1	4	122946866	122947244	-
Ppt1	ENSMUSG00000028657.14	ENSMUSG00000028657.14_3_1	4	122857722	122857965	+
Ppt1	ENSMUSG00000028657.14	ENSMUSG00000028657.14_3_2	4	122858190	122858290	+
Eloa	ENSMUSG00000028668.5	ENSMUSG00000028668.5_1_1	4	136005304	136005617	-
Eloa	ENSMUSG00000028668.5	ENSMUSG00000028668.5_1_2	4	136003395	136003735	-
Pithd1	ENSMUSG00000028669.15	ENSMUSG00000028669.15_1_1	4	135975573	135976002	-
Lypla2	ENSMUSG00000028670.14	ENSMUSG00000028670.14_1_1	4	135968261	135968613	-
Gale	ENSMUSG00000028671.16	ENSMUSG00000028671.16_1_1	4	135967697	135968162	+
Hmgcl	ENSMUSG00000028672.13	ENSMUSG00000028672.13_1_1	4	135962215	135962605	+
Fuca1	ENSMUSG00000028673.10	ENSMUSG00000028673.10_1_1	4	135939098	135939278	+
Pnrc2	ENSMUSG00000028675.12	ENSMUSG00000028675.12_2_1	4	135870942	135871332	-
Srsf10	ENSMUSG00000028676.17	ENSMUSG00000028676.17_1_1	4	135865462	135865776	+
Srsf10	ENSMUSG00000028676.17	ENSMUSG00000028676.17_2_1	4	135868130	135868264	+
Rnf220	ENSMUSG00000028677.19	ENSMUSG00000028677.19_2_1	4	117271478	117271862	-
Plk3	ENSMUSG00000028680.14	ENSMUSG00000028680.14_1_1	4	117128673	117129071	-
Eif2b3	ENSMUSG00000028683.14	ENSMUSG00000028683.14_2_1	4	117086707	117086849	+
Urod	ENSMUSG00000028684.14	ENSMUSG00000028684.14_1_1	4	116990228	116990448	-
Toe1	ENSMUSG00000028688.13	ENSMUSG00000028688.13_1_1	4	116804015	116804422	-
Mmachc	ENSMUSG00000028690.4	ENSMUSG00000028690.4_1_1	4	116703019	116703288	-
Mmachc	ENSMUSG00000028690.4	ENSMUSG00000028690.4_1_2	4	116702464	116702881	-
Prdx1	ENSMUSG00000028691.12	ENSMUSG00000028691.12_1_1	4	116699191	116699509	+
Nasp	ENSMUSG00000028693.15	ENSMUSG00000028693.15_1_1	4	116601648	116601768	-
Nasp	ENSMUSG00000028693.15	ENSMUSG00000028693.15_1_2	4	116601095	116601386	-
Ipp	ENSMUSG00000028696.12	ENSMUSG00000028696.12_1_1	4;4	116537924;116538217	116538216;116538455	+;+
Pik3r3	ENSMUSG00000028698.13	ENSMUSG00000028698.13_1_2	4;4	116302515;116302726	116302725;116303027	+;+
Pomgnt1	ENSMUSG00000028700.14	ENSMUSG00000028700.14_1_1	4	116159453	116159829	+
Lurap1	ENSMUSG00000028701.4	ENSMUSG00000028701.4_1_1	4	116137257	116137595	-
Lurap1	ENSMUSG00000028701.4	ENSMUSG00000028701.4_1_2	4	116136730	116137089	-
Lrrc41	ENSMUSG00000028703.14	ENSMUSG00000028703.14_1_1	4	116096627	116097028	+
Nsun4	ENSMUSG00000028706.14	ENSMUSG00000028706.14_2_1	4	116033788	116034077	-
Nsun4	ENSMUSG00000028706.14	ENSMUSG00000028706.14_2_2	4	116032976	116033372	-
Mknk1	ENSMUSG00000028708.16	ENSMUSG00000028708.16_1_1	4	115878863	115879240	+
Mob3c	ENSMUSG00000028709.3	ENSMUSG00000028709.3_1_3	4	115835825	115836154	+
Cmpk1	ENSMUSG00000028719.8	ENSMUSG00000028719.8_1_1	4	114960660	114961040	-
Ebna1bp2	ENSMUSG00000028729.15	ENSMUSG00000028729.15_1_1	4	118625547	118625962	+
Ebna1bp2	ENSMUSG00000028729.15	ENSMUSG00000028729.15_1_2	4	118627494	118627700	+
Aldh4a1	ENSMUSG00000028737.15	ENSMUSG00000028737.15_1_1	4	139649312	139649683	+
Mrto4	ENSMUSG00000028741.13	ENSMUSG00000028741.13_1_1	4;4	139347451;139347803	139347802;139347952	-;-
Akr7a5	ENSMUSG00000028743.7	ENSMUSG00000028743.7_1_1	4	139318120	139318400	+
Capzb	ENSMUSG00000028745.18	ENSMUSG00000028745.18_1_1	4	139291026	139291209	+
Capzb	ENSMUSG00000028745.18	ENSMUSG00000028745.18_1_2	4	139291387	139291775	+
Cda	ENSMUSG00000028755.3	ENSMUSG00000028755.3_1_1	4	138338556	138338923	-
Pink1	ENSMUSG00000028756.12	ENSMUSG00000028756.12_1_1	4	138313429	138313820	-
Ddost	ENSMUSG00000028757.4	ENSMUSG00000028757.4_1_1	4;4	138311867;138312233	138312232;138312577	+;+
Kif17	ENSMUSG00000028758.12	ENSMUSG00000028758.12_1_1	4	138301606	138302035	+
Hp1bp3	ENSMUSG00000028759.13	ENSMUSG00000028759.13_1_1	4	138242768	138243146	+
Hp1bp3	ENSMUSG00000028759.13	ENSMUSG00000028759.13_1_2	4	138244384	138244599	+
Eif4g3	ENSMUSG00000028760.16	ENSMUSG00000028760.16_3_2	4	138206709	138207028	+
Hspg2	ENSMUSG00000028763.17	ENSMUSG00000028763.17_1_1	4	137570277	137570605	+
Alpl	ENSMUSG00000028766.10	ENSMUSG00000028766.10_1_1	4	137741748	137742114	-
Ptpn12	ENSMUSG00000028771.13	ENSMUSG00000028771.13_1_1	5	20986651	20987075	-
Zcchc17	ENSMUSG00000028772.19	ENSMUSG00000028772.19_1_1	4	130315958	130316473	-
Fabp3	ENSMUSG00000028773.8	ENSMUSG00000028773.8_1_1	4	130315196	130315445	+
Tinagl1	ENSMUSG00000028776.14	ENSMUSG00000028776.14_1_1	4	130165636	130165985	-
Pef1	ENSMUSG00000028779.16	ENSMUSG00000028779.16_1_1	4	130127732	130128101	+
Sema3c	ENSMUSG00000028780.13	ENSMUSG00000028780.13_1_1	5	17729846	17730258	+
Adgrb2	ENSMUSG00000028782.14	ENSMUSG00000028782.14_1_1	4	130022226	130022611	+
Hpca	ENSMUSG00000028785.13	ENSMUSG00000028785.13_1_1	4	129111555	129111917	-
Ptp4a2	ENSMUSG00000028788.14	ENSMUSG00000028788.14_1_1	4	129847738	129847939	+
Ptp4a2	ENSMUSG00000028788.14	ENSMUSG00000028788.14_1_3	4	129849632	129849949	+
Azin2	ENSMUSG00000028789.16	ENSMUSG00000028789.16_1_1	4	128932084	128932462	-
Khdrbs1	ENSMUSG00000028790.13	ENSMUSG00000028790.13_1_1	4	129714868	129715243	-
Ak2	ENSMUSG00000028792.14	ENSMUSG00000028792.14_1_1	4	129008066	129008365	+
Ccdc28b	ENSMUSG00000028795.15	ENSMUSG00000028795.15_1_1	4	129620394	129620477	-
Ccdc28b	ENSMUSG00000028795.15	ENSMUSG00000028795.15_2_1	4	129619311	129619442	-
Tmem234	ENSMUSG00000028797.20	ENSMUSG00000028797.20_1_2	4	129608137	129608501	+
Eif3i	ENSMUSG00000028798.16	ENSMUSG00000028798.16_1_1	4	129591993	129592353	-
Zfp362	ENSMUSG00000028799.15	ENSMUSG00000028799.15_1_1	4	128774247	128774447	-
Zfp362	ENSMUSG00000028799.15	ENSMUSG00000028799.15_1_2	4	128773103	128773503	-
Hdac1	ENSMUSG00000028800.15	ENSMUSG00000028800.15_1_1	4	129516129	129516468	-
Nipal3	ENSMUSG00000028803.18	ENSMUSG00000028803.18_2_1	4	135448895	135449270	-
Csmd2	ENSMUSG00000028804.20	ENSMUSG00000028804.20_1_1	4;4	128567153;128567310	128567309;128567653	+;+
Zbtb8a	ENSMUSG00000028807.2	ENSMUSG00000028807.2_1_1	4	129353667	129354030	-
Srrm1	ENSMUSG00000028809.16	ENSMUSG00000028809.16_2_1	4	135320489	135320859	-
Yars	ENSMUSG00000028811.11	ENSMUSG00000028811.11_1_1	4	129218845	129219222	+
Sfpq	ENSMUSG00000028820.13	ENSMUSG00000028820.13_1_1	4	127029929	127030231	+
Sfpq	ENSMUSG00000028820.13	ENSMUSG00000028820.13_1_2	4	127030462	127030743	+
Sfpq	ENSMUSG00000028820.13	ENSMUSG00000028820.13_1_3	4	127030935	127031169	+
Syf2	ENSMUSG00000028821.8	ENSMUSG00000028821.8_1_1	4;4	134936881;134937146	134937145;134937518	+;+
Tmem50a	ENSMUSG00000028822.11	ENSMUSG00000028822.11_1_1	4	134897868	134898301	-
Tmem57	ENSMUSG00000028826.14	ENSMUSG00000028826.14_1_2	4	134802795	134803124	-
RP23-273D6.2	ENSMUSG00000028830.14	ENSMUSG00000028830.14_1_1	4	126853951	126854331	+
Stmn1	ENSMUSG00000028832.11	ENSMUSG00000028832.11_1_1	4	134473445	134473818	+
Ncdn	ENSMUSG00000028833.13	ENSMUSG00000028833.13_1_1	4	126743767	126744148	-
Psmb2	ENSMUSG00000028837.8	ENSMUSG00000028837.8_1_1	4	126709477	126709682	+
Zfp593	ENSMUSG00000028840.10	ENSMUSG00000028840.10_1_1	4	134244668	134245061	-
Zfp593	ENSMUSG00000028840.10	ENSMUSG00000028840.10_1_2	4	134243362	134243624	-
Ago3	ENSMUSG00000028842.15	ENSMUSG00000028842.15_1_9	4	126333649	126333904	-
Sh3bgrl3	ENSMUSG00000028843.8	ENSMUSG00000028843.8_1_1	4	134127430	134127783	-
Trappc3	ENSMUSG00000028847.8	ENSMUSG00000028847.8_1_1	4	126275488	126275861	+
Gpn2	ENSMUSG00000028848.13	ENSMUSG00000028848.13_1_1	4	133591357	133591728	+
Map7d1	ENSMUSG00000028849.17	ENSMUSG00000028849.17_1_1	4	126232184	126232558	-
Gpatch3	ENSMUSG00000028850.2	ENSMUSG00000028850.2_1_1	4	133583814	133584216	+
Nudc	ENSMUSG00000028851.6	ENSMUSG00000028851.6_1_1	4	133532555	133532789	-
Slc9a1	ENSMUSG00000028854.9	ENSMUSG00000028854.9_1_1	4	133423309	133423696	+
Tmem222	ENSMUSG00000028857.16	ENSMUSG00000028857.16_1_1	4	133266068	133266447	-
Mrps15	ENSMUSG00000028861.13	ENSMUSG00000028861.13_1_1	4	126055381	126055522	+
Map3k6	ENSMUSG00000028862.6	ENSMUSG00000028862.6_1_1	4	133252683	133252888	+
